Ano;Estado;Vivo;Falecido;Total
2021;SP;7;117;124
2021;RS;4;36;40
2021;CE;0;16;16
2021;PE;0;6 ;6
2021;PR;0;25 ;25
2021;MG;0;29;29
2021;BA;0;12;12
2021;RJ;4;32;36
2021;DF; 0;4;4         
2021;PA;0;7;7
2021;PB;0;1;1
2021;SC;0;3; 3
2021;MA;0;2;2
2021;MS;0;2;2
2021;BRASIL;15;292;307
